epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,972.681,0.78373,0.45137,1.07569,0.98661,0.97222,0.98554,0.81315,0.72179,0.36556,0.95123,0.0004556,0.0004556,0.0004556
80,986.415,0.78211,0.43407,1.07594,0.96304,0.99074,0.98596,0.8309,0.69023,0.36711,0.93969,0.0004358,0.0004358,0.0004358
81,997.424,0.75989,0.43298,1.06744,0.97272,0.99037,0.98607,0.8206,0.69339,0.36186,0.94425,0.000416,0.000416,0.000416
82,1010.73,0.77645,0.43977,1.07218,0.97359,0.98148,0.98457,0.82032,0.69581,0.36353,0.94742,0.0003962,0.0003962,0.0003962
83,1024.36,0.73885,0.41732,1.04563,0.97196,0.98148,0.98635,0.83362,0.70385,0.35758,0.95117,0.0003764,0.0003764,0.0003764
84,1036.24,0.78783,0.44307,1.08378,0.97271,0.99023,0.98669,0.83404,0.69609,0.34947,0.95535,0.0003566,0.0003566,0.0003566
85,1047.44,0.75128,0.42599,1.06193,0.979,0.98148,0.98678,0.83093,0.70075,0.34333,0.94412,0.0003368,0.0003368,0.0003368
86,1060.84,0.73583,0.42038,1.05737,0.97245,0.98068,0.98644,0.83191,0.68199,0.34375,0.93228,0.000317,0.000317,0.000317
87,1074.14,0.73626,0.40849,1.0509,0.97895,0.98148,0.98554,0.83412,0.70816,0.34807,0.94238,0.0002972,0.0002972,0.0002972
88,1085.62,0.72794,0.40867,1.04579,0.97781,0.98148,0.98629,0.83504,0.71599,0.35366,0.94943,0.0002774,0.0002774,0.0002774
89,1097.84,0.70806,0.39712,1.03898,0.97698,0.98148,0.98387,0.84211,0.6827,0.34608,0.94229,0.0002576,0.0002576,0.0002576
90,1111.63,0.7381,0.42022,1.05418,0.97727,0.98148,0.98116,0.83258,0.67639,0.33542,0.94192,0.0002378,0.0002378,0.0002378
91,1126.82,0.64896,0.33579,0.98853,0.97137,0.98148,0.98112,0.82551,0.6885,0.34577,0.94695,0.000218,0.000218,0.000218
92,1137.86,0.62668,0.31843,0.97349,0.98145,0.97993,0.98623,0.83084,0.68512,0.35371,0.94854,0.0001982,0.0001982,0.0001982
93,1150.08,0.62299,0.3199,0.97132,0.98148,0.98131,0.98823,0.83953,0.69205,0.35539,0.94276,0.0001784,0.0001784,0.0001784
94,1163.24,0.60983,0.30324,0.96727,0.98147,0.98078,0.98733,0.84209,0.66181,0.33686,0.93171,0.0001586,0.0001586,0.0001586
95,1175.05,0.59746,0.30718,0.95545,0.96915,0.98148,0.98183,0.83633,0.66434,0.33624,0.93414,0.0001388,0.0001388,0.0001388
96,1186.15,0.596,0.29908,0.95599,0.98146,0.98019,0.9868,0.83789,0.66474,0.33704,0.93442,0.000119,0.000119,0.000119
97,1199.26,0.58784,0.29621,0.95742,0.98145,0.97973,0.98529,0.83955,0.65844,0.33662,0.9343,9.92e-05,9.92e-05,9.92e-05
98,1211.23,0.57054,0.29217,0.94182,0.98145,0.97976,0.98615,0.84042,0.65811,0.33016,0.9347,7.94e-05,7.94e-05,7.94e-05
99,1222.15,0.58224,0.29585,0.95131,0.98106,0.98148,0.98514,0.84182,0.66002,0.33016,0.93599,5.96e-05,5.96e-05,5.96e-05
100,1235.57,0.5675,0.28994,0.95538,0.9811,0.98148,0.98381,0.84107,0.6634,0.32995,0.93454,3.98e-05,3.98e-05,3.98e-05
